,NODE,LTEXT
68,D2,โต๊ะอาหารขนาด 180-199
69,D3,โต๊ะอาหารขนาด 200-219
70,D4,โต๊ะอาหารขนาดเล็กกว่า120
71,D5,ที่นอน 3.5 ฟุต
72,D6,หน้าบาน Flap
73,D7,Square Rugs
74,D8,โต๊ะอาหารขนาด 220-240
75,D9,โต๊ะอาหารขนาดใหญ่กว่า240
76,E0,ที่นอน 10 ฟุต
77,E1,ที่นอน 12 ฟุต
78,E2,ที่นอน 5 ฟุต
79,E3,ที่นอน 6 ฟุต
80,E4,ที่นอน 7 ฟุต
81,E5,ผนังกล่องขนาด 120
82,E6,ผนังกล่องขนาด 60
83,E7,ผนังตกแต่งผ้าขนาด 120
84,E8,ผนังตกแต่งผ้าขนาด 60
85,E9,ผนังตกแต่งไม้ขนาด 120
86,F0,ผนังตกแต่งไม้ขนาด 60
87,F1,ผนังตกแต่งหนังขนาด 120
88,F2,ผนังตกแต่งหนังขนาด 60
89,F3,หน้าบานประตู D-01
90,F4,หน้าบานประตู D-02
91,F5,หน้าบานประตู D-03
92,F6,หน้าบานประตู D-04
93,F7,หน้าบานประตู D-05
94,F8,หน้าบานประตู D-06
95,F9,หน้าบานประตู D-07
96,G1,หน้าบานประตู D-08
97,G2,หน้าบานประตู D-09
98,G3,หน้าบานประตู D-10
99,G4,หน้าบานประตู D-11
100,G5,หน้าบานประตู DBL-01
101,G6,หน้าบานประตู DBL-02
102,G7,หน้าบานประตู DBL-03
103,G8,หน้าบานประตู DBL-05
104,G9,หน้าบานประตู W01
105,H0,หน้าบานประตู W02
106,H1,หน้าบานประตู W03
107,H2,หน้าบานประตู W04
108,H3,หน้าบานประตู W05
109,H4,หน้าบานเฟี้ยม
110,H5,Round Rugs
111,H6,กล่องบานยกขนาด 60
112,H7,กล่องลิ้นชักขนาด 60
113,H8,กล่องโล่งขนาด 60
114,H9,ชั้นโล่งขนาด 120
115,T8,ชุดวางทีวี241-270
116,AA,โครงตู้ขนาด 45
117,AB,โครงตู้ขนาด 60
118,AC,โครงตู้ขนาด 60
119,AD,กล่องโล่งขนาด 120-35
120,AE,กล่องโล่งขนาด 45-110
121,AF,กล่องโล่งขนาด 60-110
122,AG,กล่องโล่งขนาด 90-35
123,AH,กล่องโล่งขนาด 90-73
124,AI,หน้าบานขนาด 45-110
125,AJ,หน้าบานขนาด 45-147
126,AK,หน้าบานขนาด 45-73
127,AL,หน้าบานขนาด 50-73
128,AM,หน้าบานขนาด 60-110
129,AN,หน้าบานขนาด 60-147
130,AO,หน้าบานขนาด 60-73
131,AP,หน้าบานขนาด 75
132,AQ,กล่องลิ้นชักขนาด 120
133,AR,กล่องลิ้นชักขนาด 45
134,AS,กล่องลิ้นชักขนาด 90
135,AT,หน้าลิ้นชักขนาด 45
136,AU,กล่องรองเท้าขนาด 45-110
137,AV,กล่องรองเท้าขนาด 60-110
138,AW,ตู้สูงขนาด 45
139,AX,ตู้สูงขนาด 45
140,AY,โครงตู้ทีวีขนาด 120
141,AZ,โครงตู้ทีวีขนาด 180
142,BA,ชั้นโล่งขนาด 45
143,BI,ผนังตกแต่งกระจกขนาด 120
144,BJ,ผนังตกแต่งกระจกขนาด 60
145,BS,Hanging box 40
146,BT,Hanging box 50
147,BU,Hanging box 80
148,BV,Hanging box 100
149,BW,Shelf 20
150,BX,Shelf 30
151,BY,Tall cabinet 50
152,BZ,Night table 30
153,CA,Night table 40
154,CB,Night table 50
155,CC,Hanging box > 120
156,Y7,พื้นบนตู้ลิ้นชักขนาด 90
157,BD,Kitchen Set 120
158,BE,Kitchen Set 160
159,BF,Kitchen Set 180
160,BG,Kitchen Set 200
161,BH,Kitchen Set 80
162,BK,Topper 3.5''
163,BL,Topper 5''
164,BM,Topper 6''
165,CD,ตู้เสื้อผ้าบานเปิดขนาดเล็กกว่า 80
166,S6,ชุดตู้เก็บของ120-150
167,S7,ชุดตู้เก็บของ151-180
168,S8,ชุดตู้เก็บของ181-200
169,S9,ชุดตู้เก็บของ201-240
170,T1,ชุดตู้เก็บของ241-270
171,T2,ชุดตู้เก็บของ<120
172,T3,ชุดตู้เก็บของ>270
173,T4,ชุดวางทีวี120-150
174,T5,ชุดวางทีวี151-180
175,T6,ชุดวางทีวี181-200
176,T7,ชุดวางทีวี201-240
177,I0,ชั้นโล่งขนาด 90
178,I1,ชั้นโล่งขนาด 150
179,I2,หน้าบานประตู DBL-17
180,I3,หน้าบานประตู DBL-18
181,I4,ตู้เสื้อผ้าบานเฟี้ยมขนาด 220
182,I5,โต๊ะเครื่องแป้งแบบยืนขนาด 120
183,I6,ผนังตกแต่ง 120
184,I7,ผนังตกแต่ง 80
185,I8,ชั้นแขวน 50
186,I9,ชุดเครื่องนอน
187,J1,ชั้นแขวนขนาด 40
188,J2,ชั้นแขวนขนาด 50
189,J3,ไซด์บอร์ด ขนาด 120
190,J4,ไซด์บอร์ดขนาด 80
191,J5,ตุ้เตี้ยขนาด 80
192,J6,ตู้โชว์ขนาด 180
193,J7,ตู้โชว์ขนาด 50
194,J8,ตู้โชว์ชนาด 150
195,J9,ตู้เตี้ยขนาด 40
196,K1,ตู้เสื้อผ้าบานเปิดขนาด 120
197,K2,ตู้เสื้อผ้าบานเปิดขนาด 134
198,K3,โต๊ะเครื่องแป้งแบบนั่งขนาด 60
199,K4,โต๊ะเครื่องแป้งแบบยืนขนาด 60
200,K5,โต๊ะทำงานขนาด 80
201,K6,โต๊ะแป้งแบบนั่งขนาด 60
202,K7,ตู้เสื้อผ้าบานเปิดขนาด 220
203,K8,ตู้เสื้อผ้าบานเลื่อนขนาด 200
204,K9,โต๊ะทำงานขนาด 45-100
205,L1,โต๊ะทำงานขนาด 101-150
206,L2,โต๊ะทำงานขนาด 151-200
207,L3,โต๊ะทำงานขนาด 200 ขึ้นไป
208,L4,ตู้เตี้ยขนาด 180
209,L5,เตียง 3 ฟุต
210,L6,โต๊ะอาหารขนาดเล็กกว่า 80
211,L7,โต๊ะอาหารขนาด 80-119
212,L8,ที่นอน 3 ฟุต
213,L9,ที่นอนกลม
214,M1,ชุดเครื่องนอน 3.5 ฟุต
215,M2,ชุดเครื่องนอน 5 ฟุต
216,M3,ชุดเครื่องนอน 6 ฟุต
217,M4,90x100 ซม.
218,M5,70x90 ซม.
219,M6,60
220,M7,90
221,M8,120
222,M9,150
223,N1,180
224,N2,240
225,N3,15-90
226,N4,15-120
227,N5,30-30
228,N6,30-60
229,N7,30-90
230,N8,30-120
231,N9,30-150
232,O1,30-240
233,O2,60-30
234,O3,60-60
235,O4,60-60 (ISF)
236,O5,60-90
237,O6,60-120
238,O7,60-180
239,O8,90-30
240,O9,90-90
241,P1,120-30
242,P2,120-180
243,P3,50
244,P4,400
245,P5,30-180
246,P6,90-120
247,P7,45-120
248,P8,45-180
249,P9,45-240
250,Q1,**Delete**
251,Q2,**Delete**
252,Q3,**Delete**
253,Q4,รีไคล์เนอร์ขนาดเล็กกว่า1.8m
254,Q5,รีไคล์เนอร์ขนาด1.8-2m
255,Q6,รีไคล์เนอร์ขนาด2-2.5m
256,Q7,รีไคล์เนอร์ขนาด2.5-3m
257,Q8,รีไคล์เนอร์ขนาด3.3.5m
258,Q9,เตียงขนาดพิเศษ
259,R1,ตู้โชว์ + วางทีวี ขนาด 220
260,R2,ตู้โชว์ + วางทีวี ขนาด 240
261,R3,ตู้โชว์ + วางทีวี ขนาดใหญ่กว่า 240
262,S3,โต๊ะอาหารขนาดเล็กกว่า120
263,U1,ชุดวางทีวี>270
264,S5,โต๊ะอาหารขนาดใหญ่กว่า240
265,T9,ชุดวางทีวี<120
266,U2,ชุดผนังตกแต่ง
267,U3,ชุดครัวKuche (I)
268,U4,ชุดครัวKuche (L)
269,U5,ชุดครัวKuche (U)
270,U6,ซีรีย์ตู้ผ้าWDPlus47
271,U7,ซีรีย์ตู้ผ้าWDPlus93
272,V4,กล่องแขวนขนาด 120
273,W2,ตู้แขวนขนาด 90
274,W3,ตู้แขวนทีวีขนาด 120
275,W4,ตู้แขวนทีวีขนาด 180
276,W5,ผนังตกแต่ง 150
277,W6,ผนังตกแต่ง 180
278,W7,ผนังตกแต่ง 30
279,W8,ผนังตกแต่ง 90
280,W9,พื้นล่างขนาด 120
281,X1,พื้นล่างขนาด 180
282,X2,พื้นล่างขนาด 240
283,X3,พื้นล่างขนาด 60
284,X4,พื้นล่างขนาด 90
285,X5,หน้าบานขนาด 120
286,X6,หน้าบานขนาด 60
287,X7,หน้าบานขนาด 90
288,X8,หน้าลิ้นชักขนาด 120
289,X9,หน้าลิ้นชักขนาด 180
290,Y1,หน้าลิ้นชักขนาด 60
291,Y2,หน้าลิ้นชักขนาด 90
292,Y3,ตู้โชว์ขนาด 120
293,Y4,พื้นบนตู้ลิ้นชักขนาด 120
294,Y5,พื้นบนตู้ลิ้นชักขนาด 180
295,Y6,พื้นบนตู้ลิ้นชักขนาด 240
296,R4,ตู้สูงขนาด 160
297,R5,ตู้สูงขนาด 180
298,R6,ตู้สูงขนาด 200
299,R7,ตู้สูงขนาดใหญ่กว่า 200
300,CI,หน้าบานตู้เสื้อผ้าขนาด 45
301,BR,รีไคล์เนอร์ขนาดใหญ่กว่า3.5m
302,U8,ซีรีย์ตู้ผ้าMaxio180
303,U9,ซีรีย์ตู้ผ้าMaxio230
304,V1,ชุดห้องนอน(3.5 ฟุต)
305,V2,ชุดห้องนอน(5 ฟุต)
306,V3,ชุดห้องนอน(6 ฟุต)
307,V5,กล่องแขวนขนาด 30
308,V6,กล่องแขวนขนาด 60
309,V7,กล่องแขวนขนาด 90
310,V8,ตู้แขวนขนาด 120
311,V9,ตู้แขวนขนาด 30
312,W1,ตู้แขวนขนาด 60
313,Y8,กรอบขนาด 120
314,Y9,กรอบขนาด 150
315,Z1,กรอบขนาด 180
316,Z2,โครงซุ้มทีวีขนาด 120
317,Z3,โครงซุ้มทีวีขนาด 150
318,Z4,โครงซุ้มทีวีขนาด 180
319,Z5,กรอบขนาด 200
320,Z6,กรอบขนาด 240
321,Z7,ซุ้มหัวเตียงขนาด 200
322,Z8,ซุ้มหัวเตียงขนาด 240
323,Z9,โครงตู้ขนาด 120
324,BB,ชั้นโล่งขนาด 60
325,BC,โครงตู้ทีวีขนาด 150
326,BN,Body Bed 3.5 ฟุต
327,BO,Body Bed 5 ฟุต
328,BP,Body Bed 6 ฟุต
329,BQ,Showcase 110
330,CE,ตู้ข้างเตียงขนาด 45
331,CF,ตู้เสื้อผ้าบานเปิดขนาด 225
332,CG,ตู้เสื้อผาบานเปิดขนาด 45
333,CH,หน้าบานตู้เสื้อผ้าขนาด 90
334,03,เตียง 3.5 ฟุต
335,04,เตียง 5 ฟุต
336,05,เตียง 6 ฟุต
337,06,เตียง 7 ฟุต
338,07,โต๊ะแป้งแบบนั่งขนาด 100
339,08,โต๊ะแป้งแบบนั่งขนาด 120
340,09,โต๊ะแป้งแบบนั่งขนาด 80
341,10,โต๊ะแป้งแบบนั่งขนาด 90
342,11,โต๊ะแป้งแบบยืนขนาด 40
343,12,โต๊ะแป้งแบบยืนขนาด 60
344,13,โต๊ะแป้งแบบยืนขนาด 80
345,14,โต๊ะแป้งแบบยืนขนาด 90
346,15,โต๊ะทำงานขนาด 120
347,16,โต๊ะทำงานขนาด 150
348,17,ไซด์บอร์ดขนาด 120
349,18,ไซด์บอร์ดขนาด 130
350,19,ไซด์บอร์ดขนาด 150
351,20,ไซด์บอร์ดขนาด 160
352,21,ไซด์บอร์ดขนาด 180
353,22,ไซด์บอร์ดขนาด 240
354,23,ไซด์บอร์ดขนาด 76
355,24,ไซด์บอร์ดขนาด 90
356,25,กล่องแขวนแนวตั้ง
357,26,กล่องแขวนแนวนอน
358,27,ชั้นแขวนขนาด 120
359,28,ชั้นแขวนขนาด 150
360,29,ชั้นแขวนขนาด 160
361,30,ชั้นแขวนขนาด 200
362,31,ชั้นแขวนขนาด 60
363,32,ชั้นแขวนขนาด 80
364,33,ชั้นแขวนขนาด 90
365,34,ตู้เตี้ยขนาด 120
366,35,ตู้เตี้ยขนาด 60
367,36,ตู้เตี้ยขนาด 75
368,37,ตู้เตี้ยขนาด 80
369,38,ตู้เตี้ยขนาด 90
370,39,ตู้เตี้ยบานเปิดขนาด 120
371,40,ตู้เตี้ยบานเปิดขนาด 60
372,41,ตู้เตี้ยบานเปิดขนาด 75
373,42,ตู้เตี้ยบานเปิดขนาด 80
374,43,ตู้เตี้ยบานเปิดขนาด 90
375,44,ตู้เตี้ยลิ้นชัก 120
376,45,ตู้เตี้ยลิ้นชัก 60
377,46,ตู้เตี้ยลิ้นชัก 80
378,47,ตู้เตี้ยลิ้นชัก 90
379,48,ตู้เตี้ยลิ้นชักขนาด 120
380,49,ตู้เตี้ยลิ้นชักขนาด 60
381,50,ตู้เตี้ยลิ้นชักขนาด 80
382,51,ตู้เตี้ยลิ้นชักขนาด 90
383,52,ตู้เสื้อผ้าเข้ามุม
384,53,ตู้เสื้อผ้าบานเปิดขนาด 135
385,54,ตู้เสื้อผ้าบานเปิดขนาด 139
386,55,ตู้เสื้อผ้าบานเปิดขนาด 160
387,56,ตู้เสื้อผ้าบานเปิดขนาด 180
388,57,ตู้เสื้อผ้าบานเปิดขนาด 200
389,58,ตู้เสื้อผ้าบานเปิดขนาด 202
