MATNR,Style,Cat2,Style_id,Cat2_id
19045091,Contemporary,โซฟาเข้ามุมซ้าย,5,209
19046691,Modern,โซฟาเข้ามุมขวา,12,207
19042344,Contemporary,เตียง,5,189
19042354,Contemporary,กระจกแบบแขวน,5,9
19046677,Modern,โซฟาเข้ามุมขวา,12,207
19046678,Modern,โซฟาเข้ามุมซ้าย,12,209
59002440,Contemporary,None,5,538
19049904,Modern,เดย์เบด,12,188
19052065,Modern,สตูล,12,121
19031688,Modern Italian,กระจกแบบแขวน,16,9
19031689,Modern Italian,กระจกแบบแขวน,16,9
19052163,Vintage,ตู้เสื้อผ้าบานเปิด,25,68
19052165,Vintage,ตู้เตี้ยลิ้นชัก,25,67
19035027,Modern Italian,เตียง,16,189
19049901,Contemporary,โซฟาเข้ามุมขวา,5,207
19052167,Vintage,ตู้โชว์,25,74
19040923,Modern,โต๊ะข้างเหล็กท๊อปกระจก,12,226
19050458,Vintage,ถาดและรถเข็น,25,78
19042701,Modern,โต๊ะข้างไม้ล้วน,12,233
19042702,Scandinavian,โต๊ะกลางไม้ล้วน,23,223
59002430,Contemporary,ชุดห้องนอน,5,51
59000356,Modern,ชุดห้องนอนเด็ก,12,52
19039979,Modern,เก้าอี้เหล็กเบาะผ้า,12,173
19039993,Modern,โต๊ะกลางเหล็กท๊อปกระจก,12,216
59002497,Contemporary,ชุดห้องนอนเด็ก,5,52
19031684,Modern Italian,โต๊ะเครื่องแป้งแบบยืน,16,254
19050414,Vintage,ของตกแต่งอื่น ๆ,25,28
19050430,Vintage,ราวแขวน,25,119
19050440,Vintage,เชิงเทียน,25,186
19052062,Ecolism,เก้าอี้เหล็กล้วน,6,172
19050011,Contemporary,บอดี้ + หน้าบานชุดครัว,5,100
19047937,Vintage,ไซด์บอร์ด,25,257
19047940,Modern,ตู้เสื้อผ้าบานเปิด,12,68
59000601,None,None,306,538
59000606,Contemporary,โต๊ะอาหารหินล้วน,5,248
19045177,Modern,เก้าอี้ไม้เบาะหนัง,12,180
59001235,Contemporary,None,5,538
19050470,Modern,โซฟาเข้ามุมขวา,12,207
19050601,Modern,อาร์มแชร์ผ้า,12,143
19088346,Modern Italian,เตียง,16,189
19027121,Contemporary,เก้าอี้เหล็กเบาะหนัง,5,175
19027122,Contemporary,เตียง,5,189
19050412,Vintage,โคมไฟตั้งโต๊ะ,25,198
19039931,Scandinavian,อาร์มแชร์หนังแท้ทั้งตัว,23,145
19039934,Scandinavian,โต๊ะกลางไม้ล้วน,23,223
19045213,Contemporary,เตียง,5,189
19051009,Luxury,ไซด์บอร์ด,9,257
59001510,Vintage,เตียง,25,189
19052162,Vintage,ตู้ข้างเตียง,25,61
19000158,Contemporary,โต๊ะกลางเหล็กท๊อปกระจก,5,216
19050459,Vintage,โคมไฟตั้งโต๊ะ,25,198
19052160,Vintage,เตียง,25,189
19049996,Contemporary,บอดี้ + หน้าบานชุดครัว,5,100
59000607,Contemporary,None,5,538
19046690,Contemporary,โซฟา 1 ที่นั่ง,5,201
19050491,Contemporary,โซฟาเข้ามุมซ้าย,5,209
19051475,Modern,โซฟา 3 ที่นั่ง,12,203
59001168,Modern Italian,None,16,538
19039895,Modern,ตู้เสื้อผ้าบานเลื่อน,12,70
59001197,Modern Italian,None,16,538
59000512,Contemporary,None,5,538
19051011,Vintage,โซฟา 2 ที่นั่ง,25,202
19051219,Modern,โซฟาเข้ามุมซ้าย,12,209
19050447,Vintage,โคมไฟตั้งโต๊ะ,25,198
19047578,Modern,เตียง,12,189
19047579,Modern,เตียง,12,189
19047581,Modern,เตียง,12,189
19045953,Modern Italian,เตียง,16,189
19022748,Modern,ชั้นแขวน,12,35
19020691,Modern Italian,เตียง,16,189
19022745,Modern,ชั้นแขวน,12,35
19000346,Contemporary,โต๊ะกลางไม้ท๊อปกระจก,5,220
19000796,Modern,ตู้ข้างเตียง,12,61
19000798,Modern,ตู้แขวน,12,72
19022746,Modern,ชั้นแขวน,12,35
19023002,Modern,โต๊ะเครื่องแป้งแบบยืน,12,254
19050477,Luxury,โซฟา 4 ที่นั่ง,9,204
19050488,Modern,โซฟาเข้ามุมซ้ายปรับระดับได้,12,210
19051220,Modern,โซฟาเข้ามุมขวา,12,207
19051474,Modern,โซฟาเข้ามุมสลับด้านได้ซ้าย/ขวา,12,212
19045105,Vintage,โซฟาเข้ามุมสลับด้านได้ซ้าย/ขวา,25,212
19031397,Modern,โต๊ะข้างเหล็กท๊อปไม้,12,228
59000549,Contemporary,None,5,538
19000799,Modern,ตู้แขวน,12,72
19047571,Modern Italian,ไซด์บอร์ด,16,257
19046083,Modern Italian,ตู้กั้นห้อง/ชั้นกั้นห้อง,16,60
19046086,Modern Italian,โต๊ะเครื่องแป้งแบบยืน,16,254
19046492,Modern,สตูล โซฟา,12,122
19031317,Modern,โต๊ะกลางเหล็กท๊อปกระจก,12,216
59000532,Modern,None,12,538
59001199,Modern Italian,None,16,538
59001200,Modern Italian,None,16,538
19050474,Luxury Glamorous,เก้าอี้ไฟเบอร์กลาส/พลาสติก,10,177
19042754,Modern,โซฟา 3 ที่นั่ง,12,203
19042767,Modern Italian,เตียง,16,189
19045164,Modern,โซฟาเข้ามุมขวา,12,207
19045174,Modern,โซฟาเบด,12,213
19005144,Modern,โต๊ะอาหารขาเหล็กท๊อปกระจก,12,242
19045932,Modern Classic,โซฟา 1 ที่นั่ง,14,201
19050464,Vintage,เชิงเทียน,25,186
19050465,Vintage,ถาดและรถเข็น,25,78
19050467,Modern,โซฟาเข้ามุมขวา,12,207
19050374,Modern Italian,โต๊ะเครื่องแป้งแบบยืน,16,254
19031309,Contemporary,อาร์มแชร์หนังสังเคราะห์,5,144
19042821,Scandinavian,อาร์มแชร์หนังแท้ทั้งตัว,23,145
19012146,Modern,ตู้รองเท้า,12,62
59001187,Modern Italian,None,16,538
59001207,Modern Italian,None,16,538
19098012,Luxury,เตียง,9,189
19022759,Modern,ท็อปชุดครัว,12,96
59001237,Modern Italian,None,16,538
19012901,Modern,ตู้เสื้อผ้าบานเลื่อน,12,70
19050099,Modern,บอดี้ + หน้าบานชุดครัว,12,100
19047587,Vintage,เก้าอี้ไม้เบาะผ้า,25,179
19016134,Contemporary,เตียง,5,189
19017659,Modern,ตู้สูง,12,64
19042837,Modern,โซฟา 3 ที่นั่ง,12,203
19047304,Vintage,นาฬิกาตั้งพื้น,25,97
19047321,Vintage,กรอบรูป,25,5
19047323,Vintage,ของตกแต่งอื่น ๆ,25,28
19047328,Vintage,ภาพแขวน,25,117
19047333,Vintage,หญ้าเทียม,25,127
19012679,Contemporary,ตู้สูง,5,64
19042796,Modern Italian,เตียง,16,189
19012192,Contemporary,โต๊ะอาหารขาไม้ท๊อปกระจก,5,245
19046700,Contemporary,ตู้เสื้อผ้าบานเลื่อน,5,70
19022752,Modern,ชั้นแขวน,12,35
19046608,Modern,เก้าอี้เหล็กเบาะหนัง,12,175
19023267,Modern,ที่คั่นหนังสือ,12,81
59000493,Modern,โต๊ะทำงาน,12,235
19042799,Modern Italian,เตียง,16,189
19049743,Vintage,กรอบรูป,25,5
19049753,Vintage,โคมไฟตั้งโต๊ะ,25,198
19049759,Vintage,ของตกแต่งอื่น ๆ,25,28
19049761,Vintage,กล่องอเนกประสงค์,25,17
19049764,Vintage,ของตกแต่งอื่น ๆ,25,28
19049765,Vintage,ถาดและรถเข็น,25,78
19023202,Modern,โต๊ะอาหารขาเหล็กท๊อปกระจก,12,242
19046695,Industrial,อาร์มแชร์หนังแท้ทั้งตัว,7,145
19046550,Contemporary,โซฟาเข้ามุมขวา,5,207
19046593,Luxury Glamorous,โซฟา 3 ที่นั่ง,10,203
19041481,Modern,โต๊ะกลางเหล็กท๊อปกระจก,12,216
19041523,Contemporary,ตู้เสื้อผ้าบานเปิด,5,68
19050039,Contemporary,บอดี้ + หน้าบานชุดครัว,5,100
19050041,Contemporary,บอดี้ + หน้าบานชุดครัว,5,100
19012447,Modern,โต๊ะกลางเหล็กท๊อปกระจก,12,216
59000533,Modern,None,12,538
59000542,Modern,None,12,538
19039955,Contemporary,โต๊ะอาหารขาเหล็กท๊อปหิน,5,243
19039976,Modern,เก้าอี้ไม้ล้วน,12,178
19056072,Vintage,คอนโซล,25,32
19050215,Ecolism,โซฟาเข้ามุมซ้าย,6,209
19050231,Vintage,นาฬิกาตั้งพื้น,25,97
19050233,Vintage,กรอบรูป,25,5
19023329,Modern,โต๊ะเครื่องแป้งแบบยืน,12,254
19046664,Modern Classic,โต๊ะเครื่องแป้งแบบนั่ง,14,253
19059066,None,ตู้โชว์+วางทีวี,306,75
19041447,Modern Italian,ตู้เสื้อผ้าบานเปิด,16,68
19023343,Modern,ตู้เสื้อผ้าบานเปิด,12,68
19027103,Contemporary,ไซด์บอร์ด,5,257
19050044,Contemporary,บอดี้ + หน้าบานชุดครัว,5,100
19050045,Contemporary,บอดี้ + หน้าบานชุดครัว,5,100
19011555,Modern,โต๊ะกลางเหล็กท๊อปกระจก,12,216
19031079,Modern,โต๊ะอาหารขาไม้ท๊อปกระจก,12,245
19030580,Contemporary,โต๊ะกลางไม้ท๊อปกระจก,5,220
19030581,Contemporary,โต๊ะข้างไม้ท๊อปกระจก,5,231
19041867,Modern,ตู้รองเท้า,12,62
19041894,Scandinavian,อาร์มแชร์ผ้า,23,143
19046699,Contemporary,ตู้เสื้อผ้าบานเปิด,5,68
19057760,Luxury,โต๊ะข้างเหล็กล้วน,9,229
19050184,Modern,โซฟาเข้ามุมขวา,12,207
19050186,Modern,โซฟาเข้ามุมซ้าย,12,209
19047359,Vintage,ของตกแต่งอื่น ๆ,25,28
19047365,Vintage,ถาดและรถเข็น,25,78
19047377,Vintage,ภาพแขวน,25,117
19046536,Modern Classic,ตู้เสื้อผ้าบานเปิด,14,68
59000347,Modern,None,12,538
19031191,Modern,เตียง,12,189
59000383,Modern,ชุดห้องนอน,12,51
19050238,Vintage,กรอบรูป,25,5
19009903,Modern,โต๊ะกลางเหล็กท๊อปกระจก,12,216
19010026,Modern,โต๊ะเครื่องแป้งแบบยืน,12,254
19047189,Modern Italian,เตียง,16,189
19046532,Modern Chic,เตียง,13,189
19027106,Contemporary,โต๊ะอาหารหินล้วน,5,248
19027115,Contemporary,เก้าอี้เหล็กเบาะหนัง,5,175
19047576,Modern,เตียง,12,189
19012082,Modern,เตียง,12,189
19050187,Modern,โต๊ะกลางไม้ล้วน,12,223
19025611,Modern,เตียง,12,189
19027037,Contemporary,กระจกแบบแขวน,5,9
19015350,Contemporary,ตู้เสื้อผ้าบานเฟี้ยม,5,69
19049752,Vintage,อุปกรณ์ตัดแต่งต้นไม้และดูแลสวน,25,148
19049757,Vintage,ตะเกียง,25,59
19049763,Vintage,กรอบรูป,25,5
19047642,Contemporary,โซฟา 3 ที่นั่ง,5,203
19059794,Modern,โซฟาเข้ามุมสลับด้านได้ซ้าย/ขวา,12,212
19050277,Colour Passion,ตู้เตี้ยลิ้นชัก,4,67
19058532,Colour Passion,โซฟาเบด,4,213
19039894,Contemporary,โต๊ะเครื่องแป้งแบบยืน,5,254
19045954,Modern Italian,เตียง,16,189
19050100,Modern,บอดี้ + หน้าบานชุดครัว,12,100
19047656,Modern Chic,เก้าอี้เหล็กเบาะผ้า,13,173
19047672,Modern,โซฟา 3 ที่นั่ง,12,203
19047929,Vintage,เตียง,25,189
19011559,Modern,โต๊ะอาหารขาเหล็กท๊อปกระจก,12,242
19050242,Vintage,กรอบรูป,25,5
19049741,Vintage,ภาพแขวน,25,117
59000123,Colour Passion,None,4,538
19031518,Modern Italian,ตู้เตี้ยลิ้นชัก,16,67
19047345,Vintage,นาฬิกาตั้งพื้น,25,97
19042359,Contemporary,ตู้เตี้ยบานเปิด,5,66
19049735,Vintage,ภาพแขวน,25,117
59000563,Contemporary,None,5,538
59000574,Modern,None,12,538
19041192,Modern Italian,เตียง,16,189
19030377,Contemporary,ตู้สูง,5,64
59000582,None,โต๊ะอาหารขาเหล็กท๊อปกระจก,306,242
19031185,Modern,เตียง,12,189
19030499,Modern,โต๊ะกลางไม้ท๊อปกระจก,12,220
19031197,Modern,โต๊ะเครื่องแป้งแบบยืน,12,254
19031456,Modern,ไซด์บอร์ด,12,257
19048012,Modern,โต๊ะเครื่องแป้งแบบยืน,12,254
25014726,Modern,ถาดและรถเข็น,12,78
19045216,Contemporary,โต๊ะเครื่องแป้งแบบยืน,5,254
25015375,Modern,หมอนอิง,12,141
59000731,Modern,โซฟา 3 ที่นั่ง,12,203
19050246,Vintage,กรอบรูป,25,5
59000719,Modern,โต๊ะอาหารขาไม้ท๊อปกระจก,12,245
19047293,Vintage,ราวแขวน,25,119
19047358,Vintage,โคมไฟแขวน,25,200
19043149,Contemporary,โต๊ะเครื่องแป้งแบบนั่ง,5,253
19015869,Modern,ตู้เสื้อผ้าบานเปิด,12,68
19023903,Modern,เตียง,12,189
59000488,Modern,โต๊ะทำงาน,12,235
19047952,Modern,บอดี้ + หน้าบานชุดครัว,12,100
19047971,Contemporary,โต๊ะอาหารขาไม้ท๊อปกระจก,5,245
19047979,Modern,ตู้โชว์,12,74
19030497,Modern,โต๊ะอาหารขาไม้ท๊อปกระจก,12,245
19052007,Modern Classic,ไซด์บอร์ด,14,257
19044859,Modern,เก้าอี้ไม้เบาะผ้า,12,179
59000099,Colour Passion,None,4,538
19047497,Contemporary,โซฟาเข้ามุมขวา,5,207
19047505,Modern,โซฟา 3 ที่นั่ง,12,203
19045724,Modern,ไซด์บอร์ด,12,257
19047996,Contemporary,ชั้นแขวน,5,35
19049547,Vintage,โซฟา 3 ที่นั่ง,25,203
19051561,Modern,ชั้นโล่ง,12,36
19044416,Modern Italian,โต๊ะทำงาน,16,235
19044463,Modern Italian,ตู้ข้างเตียง,16,61
19047251,Vintage,กล่องอเนกประสงค์,25,17
19045563,Modern,โซฟาเบด,12,213
19045723,Modern,ตู้แขวน,12,72
19049747,Vintage,กระจกแบบแขวน,25,9
19049748,Vintage,ภาพแขวน,25,117
59001254,Modern Italian,None,16,538
19052009,Modern Classic,ตู้เตี้ยลิ้นชัก,14,67
59000716,Contemporary,โต๊ะอาหารหินล้วน,5,248
19044430,Modern,ไซด์บอร์ด,12,257
19051566,Modern Italian,กล่องโล่ง,16,20
19037281,Modern Italian,ตู้เสื้อผ้าบานเฟี้ยม,16,69
19044422,Modern,ชั้นแขวน,12,35
59001274,Modern Italian,None,16,538
59000479,Modern,โต๊ะทำงาน,12,235
59000483,Modern,โต๊ะทำงาน,12,235
19041152,Modern,โต๊ะอาหารขาเหล็กท๊อปกระจก,12,242
19049797,Vintage,ชั้นแขวน,25,35
19055846,Luxury,เตียง,9,189
59011898,Modern,ชุดห้องนอน,12,51
19048006,Modern,เตียง,12,189
19047369,Vintage,ภาพแขวน,25,117
19036604,Modern,ตู้โชว์,12,74
19043150,Contemporary,โต๊ะเครื่องแป้งแบบนั่ง,5,253
19044446,Modern Italian,เตียง,16,189
19047250,Vintage,ถาดและรถเข็น,25,78
19041262,Modern,โคมไฟตั้งพื้น,12,197
25010308,Vintage,ตะเกียง,25,59
25010309,Vintage,ตะเกียง,25,59
19060202,Modern,ตู้เสื้อผ้าบานเปิด,12,68
19050251,Vintage,กรอบรูป,25,5
19048037,Modern,เก้าอี้พักผ่อน 1 ที่นั่ง,12,157
19045826,Modern,ไซด์บอร์ด,12,257
59000105,Colour Passion,None,4,538
25010311,Vintage,ตะเกียง,25,59
19051016,Vintage,โซฟา 3 ที่นั่ง,25,203
25010018,Modern,เซรามิคตกแต่ง,12,187
19051572,Modern,กล่องลิ้นชัก,12,16
19051768,Modern Classic,ตู้เสื้อผ้าบานเลื่อน,14,70
59000583,Modern,โต๊ะอาหารขาเหล็กท๊อปกระจก,12,242
19049750,Vintage,เซรามิคตกแต่ง,25,187
19049751,Vintage,ภาพแขวน,25,117
19109564,Luxury,ตู้ข้างเตียง,9,61
19062914,Vintage,ตู้สูง,25,64
25010019,Modern,เซรามิคตกแต่ง,12,187
25010023,Modern,เซรามิคตกแต่ง,12,187
19047242,Vintage,กระจกแบบตั้งพื้น,25,6
19047246,Vintage,เซรามิคตกแต่ง,25,187
19027032,Contemporary,โต๊ะกลางหินล้วน,5,215
19027043,Contemporary,เก้าอี้เหล็กเบาะหนัง,5,175
19047930,Vintage,เตียง,25,189
19045232,Modern,ตู้เสื้อผ้าบานเลื่อน,12,70
19044438,Modern Italian,ไซด์บอร์ด,16,257
19049550,Vintage,โซฟา 3 ที่นั่ง,25,203
59000594,None,None,306,538
25009928,Vintage,กรอบรูป,25,5
19041264,Modern,โคมไฟแขวน,12,200
19041265,Modern,โคมไฟแขวน,12,200
19051750,Modern,ตู้เสื้อผ้าบานเปิด,12,68
19051765,Modern Classic,ตู้เตี้ยบานเปิด,14,66
19050258,Modern,โซฟา 2 ที่นั่ง,12,202
59000177,Modern Italian,ชุดวางทีวีสำเร็จรูป,16,49
19041370,Modern,สินค้าเบ็ดเตล็ด,12,126
19062918,Modern Classic,โต๊ะข้างไม้ล้วน,14,233
59000107,Colour Passion,None,4,538
19051766,Modern Classic,ตู้เตี้ยลิ้นชัก,14,67
19023944,Modern,เตียง,12,189
19047361,Vintage,ของตกแต่งอื่น ๆ,25,28
19047363,Vintage,เชิงเทียน,25,186
19047367,Vintage,ภาพแขวน,25,117
19049539,Vintage,โซฟา 3 ที่นั่ง,25,203
19045215,Contemporary,ตู้เสื้อผ้าบานเลื่อน,5,70
25015934,Modern,หมอนอิง,12,141
19041143,Modern,เก้าอี้เหล็กเบาะหนัง,12,175
19035216,Modern Classic,กระจกแบบแขวน,14,9
19052004,Luxury,ตู้ข้างเตียง,9,61
19051560,Modern,ชั้นโล่ง,12,36
19030440,Contemporary,ตู้เตี้ยบานเปิด,5,66
19052010,Modern Classic,ตู้ข้างเตียง,14,61
19045217,Contemporary,โต๊ะเครื่องแป้งแบบยืน,5,254
19050071,Modern,บอดี้ + หน้าบานชุดครัว,12,100
19023943,Modern,ตู้เสื้อผ้าบานเลื่อน,12,70
19051628,Modern,โต๊ะคอมพิวเตอร์,12,234
19015493,Modern,เตียง,12,189
19059614,Luxury,กระจกแบบแขวน,9,9
59001248,Contemporary,None,5,538
19050061,Modern,บอดี้ + หน้าบานชุดครัว,12,100
19050253,Vintage,กรอบรูป,25,5
19036496,Contemporary,เก้าอี้เหล็กเบาะหนัง,5,175
19036592,Modern,ไซด์บอร์ด,12,257
19030428,Contemporary,ตู้สูง,5,64
19030434,Contemporary,ตู้เตี้ยบานเปิด,5,66
19015783,Modern,เตียง,12,189
19023901,Modern,เตียง,12,189
19049543,Colour Passion,โซฟา 3 ที่นั่ง,4,203
19050259,Modern Italian,เตียง,16,189
25014708,Modern,เครื่องแก้วตกแต่ง,12,181
19036595,Modern,โต๊ะทำงาน,12,235
19050060,Modern,บอดี้ + หน้าบานชุดครัว,12,100
19043146,Contemporary,ตู้เสื้อผ้าบานเลื่อน,5,70
59000334,Vintage,ชุดห้องนอน,25,51
59000178,Modern Italian,ชุดวางทีวีสำเร็จรูป,16,49
19047990,Modern,ตู้แขวน,12,72
19037021,None,โซฟาเข้ามุมซ้าย,306,209
25009509,Modern,เครื่องแก้วตกแต่ง,12,181
25009511,Modern,เครื่องแก้วตกแต่ง,12,181
19037270,Modern Italian,เตียง,16,189
19047222,Vintage,ของตกแต่งอื่น ๆ,25,28
19044960,Contemporary,โซฟาเข้ามุมขวา,5,207
19045014,Contemporary,โซฟาเข้ามุมสลับด้านได้ซ้าย/ขวา,5,212
19036619,Modern,ตู้แขวน,12,72
19030380,Contemporary,ตู้สูง,5,64
59001432,Modern Italian,None,16,538
25055654,Modern,ภาพแขวน,12,117
19029645,Modern,โคมไฟตั้งพื้น,12,197
19047991,Modern,ตู้แขวน,12,72
19031460,Modern,ชุดตู้เก็บของหนังสือ,12,43
19045015,Contemporary,โซฟาเข้ามุมสลับด้านได้ซ้าย/ขวา,5,212
19051595,Modern,อาร์มแชร์หนังสังเคราะห์,12,144
19031458,Modern,ไซด์บอร์ด,12,257
19047371,Vintage,ของตกแต่งอื่น ๆ,25,28
25014720,Modern,โถเซรามิค/โถหิน,12,255
25015079,Modern,เชิงเทียน,12,186
19015865,Modern,สตูล,12,121
19015920,Modern,โต๊ะกลางไม้ท๊อปกระจก,12,220
19041961,Contemporary,ตู้เสื้อผ้าบานเปิด,5,68
19051597,Modern,อาร์มแชร์หนังสังเคราะห์,12,144
19042665,Modern,โซฟาเบด,12,213
59000470,Modern,None,12,538
59000161,Modern Italian,ชุดวางทีวีสำเร็จรูป,16,49
19023001,Modern,เตียง,12,189
19043151,Contemporary,โต๊ะเครื่องแป้งแบบนั่ง,5,253
19047202,Modern,โต๊ะอาหารขาเหล็กท๊อปกระจก,12,242
19036610,Modern,ตู้สูง,12,64
19036613,Modern,ตู้สูง,12,64
19015804,Modern,ตู้แขวน,12,72
19030419,Contemporary,ตู้สูง,5,64
19036616,Modern,ตู้สูง,12,64
19049570,Modern,เตียง,12,189
59000026,Modern Italian,None,16,538
59000165,Modern Italian,ชุดวางทีวีสำเร็จรูป,16,49
19041255,Modern,เก้าอี้สำนักงาน,12,171
25055649,Modern,ภาพแขวน,12,117
19042250,Modern,โซฟา 3 ที่นั่ง,12,203
19030425,Contemporary,ตู้สูง,5,64
19049591,Modern,โต๊ะอาหารขาเหล็กท๊อปกระจก,12,242
19049595,Modern,โต๊ะอาหารไฟเบอร์กลาส/พลาสติก,12,250
19049596,Contemporary,โซฟาเข้ามุมซ้าย,5,209
59001096,Modern,โซฟา 2 ที่นั่ง,12,202
19023003,Modern,ตู้เสื้อผ้าบานเปิด,12,68
19049628,Neo Baroque,อาร์มแชร์ผ้า,19,143
19031528,Modern Italian,ตู้สูง,16,64
19031564,Contemporary,เก้าอี้ไม้เบาะหนัง,5,180
59001239,Contemporary,None,5,538
19050196,Modern Chic,อาร์มแชร์ผ้า,13,143
19047065,Contemporary,เก้าอี้พักผ่อน 1 ที่นั่ง,5,157
19044843,Contemporary,เก้าอี้ไม้เบาะหนัง,5,180
19031471,Modern Italian,โต๊ะทำงาน,16,235
19037397,Modern Italian,ตู้เตี้ยบานเปิด,16,66
19041227,Vintage,ไซด์บอร์ด,25,257
19042251,Modern,สตูล โซฟา,12,122
19047340,Vintage,ภาชนะใส่อาหาร,25,116
19047085,Modern Italian,ตู้เสื้อผ้าบานเปิด,16,68
19009128,Contemporary,เก้าอี้ไม้เบาะหนัง,5,180
19067809,Modern,โต๊ะอาหารขาไม้ท๊อปกระจก,12,245
19036375,Contemporary,เดย์เบด,5,188
19036670,Modern Italian,เตียง,16,189
19037020,None,โซฟาเข้ามุมซ้าย,306,209
19013110,Contemporary,เก้าอี้ไม้เบาะหนัง,5,180
19045727,Modern,ไซด์บอร์ด,12,257
19041521,Contemporary,กระจกแบบแขวน,5,9
19060080,Ecolism,โต๊ะทำงาน,6,235
59000359,Modern,None,12,538
19042334,Contemporary,เก้าอี้ไม้เบาะหนัง,5,180
59000577,Modern,None,12,538
19055551,None,โต๊ะข้างไม้ท๊อปกระจก,306,231
19058381,None,โต๊ะข้างไม้ล้วน,306,233
19045728,Modern,ตู้เตี้ยบานเปิด,12,66
19041225,Vintage,เตียง,25,189
19056032,None,โต๊ะทำงาน,306,235
19112169,Modern,นาฬิกาตั้งพื้น,12,97
19044860,Modern,โต๊ะอาหารขาไม้ท๊อปกระจก,12,245
19042351,Contemporary,ตู้เสื้อผ้าบานเปิด,5,68
19062913,Modern Classic,ตู้เสื้อผ้าบานเปิด,14,68
19044858,Modern,เก้าอี้ไม้เบาะผ้า,12,179
19044847,Contemporary,โต๊ะกลางไม้ท๊อปกระจก,5,220
19024047,Contemporary,โต๊ะอาหารขาไม้ท๊อปกระจก,5,245
19043208,Modern Italian,ไซด์บอร์ด,16,257
19014289,Modern,เตียง,12,189
19041947,Contemporary,เตียง,5,189
19042358,Contemporary,ไซด์บอร์ด,5,257
19015805,Modern,ตู้แขวน,12,72
19037400,Modern Italian,ตู้เตี้ยบานเปิด,16,66
19043178,Contemporary,เตียง,5,189
19041156,Modern,เก้าอี้เหล็กเบาะหนัง,12,175
19014291,Modern,เตียง,12,189
19045754,Modern,โซฟาเข้ามุมซ้าย,12,209
59001166,Modern Italian,None,16,538
19044395,Modern,หน้าบาน,12,130
19030413,Contemporary,ตู้สูง,5,64
19037272,Modern Italian,กระจกแบบแขวน,16,9
19041157,Modern,เก้าอี้เหล็กเบาะหนัง,12,175
19043012,Modern,โคมไฟตั้งพื้น,12,197
19041951,Contemporary,เตียง,5,189
19030383,Contemporary,ตู้สูง,5,64
19047239,Vintage,กระจกแบบตั้งพื้น,25,6
19014293,Modern,เตียง,12,189
19014761,Modern,เก้าอี้เหล็กเบาะหนัง,12,175
19025234,Modern,เก้าอี้เหล็กเบาะหนัง,12,175
19025378,Modern,โซฟา 2 ที่นั่ง,12,202
19041953,Contemporary,เตียง,5,189
19049645,Modern,โซฟา 3 ที่นั่ง,12,203
19047241,Vintage,นาฬิกาตั้งพื้น,25,97
19044924,Modern,โซฟาเข้ามุมซ้าย,12,209
59000110,Colour Passion,ชุดวางทีวี Infinity,4,47
19051734,Modern Italian,คอนโซล,16,32
19054484,Oriental Aspire,โซฟาเข้ามุมสลับด้านได้ซ้าย/ขวา,21,212
19037993,Modern Italian,เตียง,16,189
19049724,Modern Italian,โต๊ะเครื่องแป้งแบบนั่ง,16,253
19044452,Modern Italian,เตียง,16,189
19024114,Modern Italian,ตู้เสื้อผ้าบานเปิด,16,68
19024123,Modern Italian,ตู้สูง,16,64
19043197,Modern,โคมไฟแขวน,12,200
19044849,Contemporary,โต๊ะกลางไม้ท๊อปกระจก,5,220
